year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2007,XE,ExpressJet Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",56,FALSE
2007,YV,Mesa Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",121,FALSE
2007,9E,Pinnacle Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",47,FALSE
2007,XE,ExpressJet Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",20,FALSE
2007,XE,ExpressJet Airlines Inc.,HRL,"Harlingen/San Benito, TX: Valley International",22,FALSE
2007,WN,Southwest Airlines Co.,HRL,"Harlingen/San Benito, TX: Valley International",27,FALSE
2007,EV,Atlantic Southeast Airlines,MDT,"Harrisburg, PA: Harrisburg International",62,FALSE
2007,YV,Mesa Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",17,FALSE
2007,US,US Airways Inc.,MDT,"Harrisburg, PA: Harrisburg International",20,FALSE
2007,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",10,FALSE
2007,CO,Continental Air Lines Inc.,BDL,"Hartford, CT: Bradley International",10,FALSE
2007,DL,Delta Air Lines Inc.,BDL,"Hartford, CT: Bradley International",98,FALSE
2007,YV,Mesa Airlines Inc.,BDL,"Hartford, CT: Bradley International",21,FALSE
2007,NW,Northwest Airlines Inc.,BDL,"Hartford, CT: Bradley International",19,FALSE
2007,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",81,FALSE
2007,US,US Airways Inc.,BDL,"Hartford, CT: Bradley International",39,FALSE
2007,CO,Continental Air Lines Inc.,HDN,"Hayden, CO: Yampa Valley",63,FALSE
2007,OO,SkyWest Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",161,FALSE
2007,YV,Mesa Airlines Inc.,ITO,"Hilo, HI: Hilo International",64,FALSE
2007,AQ,Aloha Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",368,FALSE
2007,CO,Continental Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",21,FALSE
2007,DL,Delta Air Lines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",181,FALSE
2007,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",571,FALSE
2007,YV,Mesa Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",482,FALSE
2007,NW,Northwest Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",3,FALSE
2007,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",13,FALSE
2007,OH,Comair Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",10,FALSE
2007,CO,Continental Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",3043,FALSE
2007,XE,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1701,FALSE
2007,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",27,FALSE
2007,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",142,FALSE
2007,9E,Pinnacle Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",10,FALSE
